SQL,Lineage
"CREATE MATERIALIZED VIEW monthly_sales_summary AS SELECT DATE_TRUNC('month', o.order_date) AS month, p.category_id, c.category_name, SUM(od.quantity * od.unit_price * (1 - od.discount)) AS total_sales, COUNT(DISTINCT o.order_id) AS order_count, COUNT(DISTINCT o.customer_id) AS customer_count FROM orders o JOIN order_details od ON o.order_id = od.order_id JOIN products p ON od.product_id = p.product_id JOIN categories c ON p.category_id = c.category_id GROUP BY DATE_TRUNC('month', o.order_date), p.category_id, c.category_name; CREATE UNIQUE INDEX idx_monthly_sales_summary ON monthly_sales_summary (month, category_id);","orders.order_date -> monthly_sales_summary; orders.order_id -> monthly_sales_summary; orders.customer_id -> monthly_sales_summary; order_details.order_id -> monthly_sales_summary; order_details.quantity -> monthly_sales_summary; order_details.unit_price -> monthly_sales_summary; order_details.discount -> monthly_sales_summary; order_details.product_id -> monthly_sales_summary; products.product_id -> monthly_sales_summary; products.category_id -> monthly_sales_summary; categories.category_id -> monthly_sales_summary; categories.category_name -> monthly_sales_summary"
"CREATE FUNCTION calculate_distance(lat1 FLOAT, lon1 FLOAT, lat2 FLOAT, lon2 FLOAT) RETURNS FLOAT AS $$ DECLARE R INT = 6371; -- Radius of the earth in km lat1_rad FLOAT = radians(lat1); lat2_rad FLOAT = radians(lat2); lat_diff_rad FLOAT = radians(lat2-lat1); lon_diff_rad FLOAT = radians(lon2-lon1); a FLOAT = sin(lat_diff_rad/2) * sin(lat_diff_rad/2) + cos(lat1_rad) * cos(lat2_rad) * sin(lon_diff_rad/2) * sin(lon_diff_rad/2); c FLOAT = 2 * atan2(sqrt(a), sqrt(1-a)); d FLOAT = R * c; BEGIN RETURN d; END; $$ LANGUAGE plpgsql;",""
"CREATE TABLE product_variations (id SERIAL PRIMARY KEY, product_id INT REFERENCES products(id), sku VARCHAR(50) UNIQUE, color VARCHAR(50), size VARCHAR(20), weight DECIMAL(8,2), price DECIMAL(10,2), stock_quantity INT, UNIQUE (product_id, color, size));","product_variations.id -> result; product_variations.product_id -> result; product_variations.sku -> result; product_variations.color -> result; product_variations.size -> result; product_variations.weight -> result; product_variations.price -> result; product_variations.stock_quantity -> result; products.id -> product_variations"
"CREATE PROCEDURE generate_sales_report(start_date DATE, end_date DATE) LANGUAGE plpgsql AS $$ DECLARE report_data JSONB; BEGIN WITH sales_summary AS (SELECT p.category_id, c.category_name, SUM(od.quantity * od.unit_price * (1 - od.discount)) AS total_sales, COUNT(DISTINCT o.order_id) AS order_count FROM orders o JOIN order_details od ON o.order_id = od.order_id JOIN products p ON od.product_id = p.product_id JOIN categories c ON p.category_id = c.category_id WHERE o.order_date BETWEEN start_date AND end_date GROUP BY p.category_id, c.category_name), top_products AS (SELECT p.product_id, p.product_name, SUM(od.quantity) AS total_quantity, SUM(od.quantity * od.unit_price * (1 - od.discount)) AS total_revenue FROM order_details od JOIN orders o ON od.order_id = o.order_id JOIN products p ON od.product_id = p.product_id WHERE o.order_date BETWEEN start_date AND end_date GROUP BY p.product_id, p.product_name ORDER BY total_revenue DESC LIMIT 10) SELECT jsonb_build_object('start_date', start_date, 'end_date', end_date, 'total_sales', (SELECT SUM(total_sales) FROM sales_summary), 'total_orders', (SELECT SUM(order_count) FROM sales_summary), 'sales_by_category', (SELECT jsonb_agg(jsonb_build_object('category_name', category_name, 'total_sales', total_sales, 'order_count', order_count)) FROM sales_summary), 'top_products', (SELECT jsonb_agg(jsonb_build_object('product_name', product_name, 'total_quantity', total_quantity, 'total_revenue', total_revenue)) FROM top_products)) INTO report_data; INSERT INTO sales_reports (report_date, start_date, end_date, report_data) VALUES (CURRENT_DATE, start_date, end_date, report_data); END; $$;","orders.order_id -> sales_reports; orders.order_date -> sales_reports; order_details.order_id -> sales_reports; order_details.product_id -> sales_reports; order_details.quantity -> sales_reports; order_details.unit_price -> sales_reports; order_details.discount -> sales_reports; products.product_id -> sales_reports; products.product_name -> sales_reports; products.category_id -> sales_reports; categories.category_id -> sales_reports; categories.category_name -> sales_reports; sales_reports.report_date -> result; sales_reports.start_date -> result; sales_reports.end_date -> result; sales_reports.report_data -> result"
"WITH RECURSIVE employee_hierarchy AS (SELECT employee_id, manager_id, first_name, last_name, salary, hire_date, 1 AS level FROM employees WHERE manager_id IS NULL UNION ALL SELECT e.employee_id, e.manager_id, e.first_name, e.last_name, e.salary, e.hire_date, eh.level + 1 FROM employees e JOIN employee_hierarchy eh ON e.manager_id = eh.employee_id), dept_stats AS (SELECT department_id, AVG(salary) AS avg_salary, COUNT(*) AS emp_count FROM employees GROUP BY department_id), emp_performance AS (SELECT employee_id, AVG(rating) AS avg_rating FROM performance_reviews WHERE review_date >= DATE_SUB(CURRENT_DATE, INTERVAL 2 YEAR) GROUP BY employee_id) SELECT eh.employee_id, eh.first_name, eh.last_name, eh.level, d.department_name, eh.salary, ds.avg_salary, (eh.salary - ds.avg_salary) AS salary_diff, eh.hire_date, DATEDIFF(CURRENT_DATE, eh.hire_date) / 365 AS years_employed, ep.avg_rating, (SELECT COUNT(*) FROM employee_hierarchy eh2 WHERE eh2.manager_id = eh.employee_id) AS direct_reports FROM employee_hierarchy eh JOIN employees e ON eh.employee_id = e.employee_id JOIN departments d ON e.department_id = d.department_id JOIN dept_stats ds ON d.department_id = ds.department_id LEFT JOIN emp_performance ep ON eh.employee_id = ep.employee_id ORDER BY eh.level, salary_diff DESC;","employees.employee_id -> result; employees.manager_id -> employee_hierarchy; employees.first_name -> result; employees.last_name -> result; employees.salary -> result; employees.hire_date -> result; employees.department_id -> result; departments.department_name -> result; departments.department_id -> result; performance_reviews.employee_id -> emp_performance; performance_reviews.rating -> emp_performance; performance_reviews.review_date -> emp_performance"
"CREATE PROCEDURE analyze_sales_trends() BEGIN DECLARE start_date DATE; DECLARE end_date DATE; SET start_date = DATE_SUB(CURRENT_DATE, INTERVAL 1 YEAR); SET end_date = CURRENT_DATE; WITH RECURSIVE date_series AS (SELECT start_date AS date UNION ALL SELECT date + INTERVAL 1 DAY FROM date_series WHERE date < end_date), daily_sales AS (SELECT DATE(o.order_date) AS sale_date, SUM(od.quantity * od.unit_price * (1 - od.discount)) AS daily_revenue FROM orders o JOIN order_details od ON o.order_id = od.order_id WHERE o.order_date BETWEEN start_date AND end_date GROUP BY DATE(o.order_date)), sales_stats AS (SELECT sale_date, daily_revenue, AVG(daily_revenue) OVER (ORDER BY sale_date ROWS BETWEEN 6 PRECEDING AND CURRENT ROW) AS moving_avg_7day, AVG(daily_revenue) OVER (ORDER BY sale_date ROWS BETWEEN 29 PRECEDING AND CURRENT ROW) AS moving_avg_30day FROM daily_sales), seasonal_index AS (SELECT EXTRACT(MONTH FROM sale_date) AS month, AVG(daily_revenue) AS avg_monthly_revenue FROM daily_sales GROUP BY EXTRACT(MONTH FROM sale_date)), overall_avg AS (SELECT AVG(daily_revenue) AS avg_daily_revenue FROM daily_sales) SELECT ds.date, COALESCE(ss.daily_revenue, 0) AS daily_revenue, ss.moving_avg_7day, ss.moving_avg_30day, si.avg_monthly_revenue, oa.avg_daily_revenue, COALESCE(ss.daily_revenue, 0) - oa.avg_daily_revenue AS revenue_diff, (COALESCE(ss.daily_revenue, 0) - oa.avg_daily_revenue) / oa.avg_daily_revenue * 100 AS percent_diff, COALESCE(ss.daily_revenue, 0) / NULLIF(si.avg_monthly_revenue, 0) AS seasonal_factor FROM date_series ds LEFT JOIN sales_stats ss ON ds.date = ss.sale_date LEFT JOIN seasonal_index si ON EXTRACT(MONTH FROM ds.date) = si.month CROSS JOIN overall_avg oa ORDER BY ds.date; END;","orders.order_id -> result; orders.order_date -> result; order_details.order_id -> result; order_details.quantity -> result; order_details.unit_price -> result; order_details.discount -> result"
"WITH customer_rfm AS (SELECT customer_id, MAX(order_date) AS last_order_date, COUNT(*) AS frequency, SUM(total_amount) AS monetary FROM orders GROUP BY customer_id), rfm_scores AS (SELECT customer_id, NTILE(5) OVER (ORDER BY last_order_date DESC) AS recency_score, NTILE(5) OVER (ORDER BY frequency) AS frequency_score, NTILE(5) OVER (ORDER BY monetary) AS monetary_score FROM customer_rfm), rfm_segments AS (SELECT customer_id, recency_score, frequency_score, monetary_score, CONCAT(recency_score, frequency_score, monetary_score) AS rfm_score, CASE WHEN (recency_score + frequency_score + monetary_score) >= 13 THEN 'Best Customers' WHEN (recency_score + frequency_score + monetary_score) >= 10 THEN 'Loyal Customers' WHEN (recency_score + frequency_score + monetary_score) >= 7 THEN 'Potential Churners' WHEN (recency_score + frequency_score + monetary_score) >= 5 THEN 'Lost Customers' ELSE 'Lost Cheap Customers' END AS customer_segment FROM rfm_scores) SELECT c.customer_id, c.first_name, c.last_name, c.email, rs.recency_score, rs.frequency_score, rs.monetary_score, rs.rfm_score, rs.customer_segment, cr.last_order_date, cr.frequency, cr.monetary, (SELECT JSON_ARRAYAGG(JSON_OBJECT('product_name', p.product_name, 'quantity', od.quantity)) FROM orders o JOIN order_details od ON o.order_id = od.order_id JOIN products p ON od.product_id = p.product_id WHERE o.customer_id = c.customer_id ORDER BY o.order_date DESC LIMIT 5) AS last_5_products FROM customers c JOIN rfm_segments rs ON c.customer_id = rs.customer_id JOIN customer_rfm cr ON c.customer_id = cr.customer_id ORDER BY rs.rfm_score DESC;","customers.customer_id -> result; customers.first_name -> result; customers.last_name -> result; customers.email -> result; orders.customer_id -> result; orders.order_id -> result; orders.order_date -> result; orders.total_amount -> result; order_details.order_id -> result; order_details.product_id -> result; order_details.quantity -> result; products.product_id -> result; products.product_name -> result"
"CREATE FUNCTION calculate_product_profitability(product_id INT, start_date DATE, end_date DATE) RETURNS DECIMAL(10,2) DETERMINISTIC BEGIN DECLARE total_revenue DECIMAL(10,2); DECLARE total_cost DECIMAL(10,2); DECLARE total_quantity INT; DECLARE avg_unit_cost DECIMAL(10,2); DECLARE profit DECIMAL(10,2); SELECT COALESCE(SUM(od.quantity * od.unit_price * (1 - od.discount)), 0) INTO total_revenue FROM order_details od JOIN orders o ON od.order_id = o.order_id WHERE od.product_id = product_id AND o.order_date BETWEEN start_date AND end_date; SELECT COALESCE(AVG(unit_cost), 0) INTO avg_unit_cost FROM product_costs WHERE product_id = product_id AND effective_date <= end_date ORDER BY effective_date DESC LIMIT 1; SELECT COALESCE(SUM(quantity), 0) INTO total_quantity FROM order_details od JOIN orders o ON od.order_id = o.order_id WHERE od.product_id = product_id AND o.order_date BETWEEN start_date AND end_date; SET total_cost = avg_unit_cost * total_quantity; SET profit = total_revenue - total_cost; RETURN profit; END;","order_details.quantity -> result; order_details.unit_price -> result; order_details.discount -> result; order_details.product_id -> result; order_details.order_id -> result; orders.order_id -> result; orders.order_date -> result; product_costs.product_id -> result; product_costs.unit_cost -> result; product_costs.effective_date -> result"
"WITH RECURSIVE category_tree AS (SELECT category_id, parent_category_id, category_name, 0 AS level, CAST(category_name AS CHAR(1000)) AS path FROM categories WHERE parent_category_id IS NULL UNION ALL SELECT c.category_id, c.parent_category_id, c.category_name, ct.level + 1, CONCAT(ct.path, ' > ', c.category_name) FROM categories c JOIN category_tree ct ON c.parent_category_id = ct.category_id), category_sales AS (SELECT p.category_id, SUM(od.quantity * od.unit_price * (1 - od.discount)) AS total_sales FROM order_details od JOIN products p ON od.product_id = p.product_id JOIN orders o ON od.order_id = o.order_id WHERE o.order_date >= DATE_SUB(CURRENT_DATE, INTERVAL 1 YEAR) GROUP BY p.category_id), category_stats AS (SELECT ct.category_id, ct.category_name, ct.level, ct.path, COALESCE(cs.total_sales, 0) AS total_sales, COUNT(p.product_id) AS product_count FROM category_tree ct LEFT JOIN category_sales cs ON ct.category_id = cs.category_id LEFT JOIN products p ON ct.category_id = p.category_id GROUP BY ct.category_id, ct.category_name, ct.level, ct.path, cs.total_sales) SELECT cs.*, (SELECT SUM(total_sales) FROM category_stats WHERE path LIKE CONCAT(cs.path, '%')) AS subtree_sales, (SELECT SUM(product_count) FROM category_stats WHERE path LIKE CONCAT(cs.path, '%')) AS subtree_product_count FROM category_stats cs ORDER BY cs.path;","categories.category_id -> result; categories.parent_category_id -> category_tree; categories.category_name -> result; order_details.quantity -> result; order_details.unit_price -> result; order_details.discount -> result; order_details.product_id -> result; order_details.order_id -> result; products.product_id -> result; products.category_id -> result; orders.order_id -> result; orders.order_date -> result"
"CREATE PROCEDURE generate_inventory_report() BEGIN DECLARE report_date DATE; SET report_date = CURRENT_DATE; WITH inventory_snapshot AS (SELECT p.product_id, p.product_name, p.category_id, c.category_name, p.unit_price, p.quantity_in_stock, p.reorder_level, p.discontinued, COALESCE(po.pending_order_quantity, 0) AS pending_order_quantity FROM products p JOIN categories c ON p.category_id = c.category_id LEFT JOIN (SELECT product_id, SUM(quantity) AS pending_order_quantity FROM purchase_order_details pod JOIN purchase_orders po ON pod.purchase_order_id = po.purchase_order_id WHERE po.status = 'Pending' GROUP BY product_id) po ON p.product_id = po.product_id), sales_velocity AS (SELECT product_id, AVG(daily_sales) AS avg_daily_sales, STDDEV(daily_sales) AS stddev_daily_sales FROM (SELECT od.product_id, DATE(o.order_date) AS sale_date, SUM(od.quantity) AS daily_sales FROM order_details od JOIN orders o ON od.order_id = o.order_id WHERE o.order_date >= DATE_SUB(report_date, INTERVAL 90 DAY) GROUP BY od.product_id, DATE(o.order_date)) daily_sales GROUP BY product_id), inventory_analysis AS (SELECT is.*, sv.avg_daily_sales, sv.stddev_daily_sales, is.quantity_in_stock / NULLIF(sv.avg_daily_sales, 0) AS days_of_inventory, GREATEST(is.reorder_level, sv.avg_daily_sales * 7 + 2 * sv.stddev_daily_sales) AS suggested_reorder_level, CASE WHEN is.quantity_in_stock <= is.reorder_level THEN 'Reorder' WHEN is.quantity_in_stock <= is.reorder_level * 1.5 THEN 'Low Stock' WHEN is.quantity_in_stock >= sv.avg_daily_sales * 60 THEN 'Overstocked' ELSE 'OK' END AS stock_status FROM inventory_snapshot is LEFT JOIN sales_velocity sv ON is.product_id = sv.product_id) SELECT * FROM inventory_analysis ORDER BY category_name, product_name; END;","products.product_id -> result; products.product_name -> result; products.category_id -> result; products.unit_price -> result; products.quantity_in_stock -> result; products.reorder_level -> result; products.discontinued -> result; categories.category_id -> result; categories.category_name -> result; purchase_order_details.product_id -> result; purchase_order_details.quantity -> result; purchase_order_details.purchase_order_id -> result; purchase_orders.purchase_order_id -> result; purchase_orders.status -> result; order_details.product_id -> result; order_details.quantity -> result; order_details.order_id -> result; orders.order_id -> result; orders.order_date -> result"
"WITH RECURSIVE org_hierarchy AS (SELECT employee_id, manager_id, first_name, last_name, job_title, 1 AS level FROM employees WHERE manager_id IS NULL UNION ALL SELECT e.employee_id, e.manager_id, e.first_name, e.last_name, e.job_title, oh.level + 1 FROM employees e JOIN org_hierarchy oh ON e.manager_id = oh.employee_id), emp_performance AS (SELECT employee_id, AVG(performance_score) AS avg_performance, COUNT(*) AS review_count FROM performance_reviews WHERE review_date >= DATE_SUB(CURRENT_DATE, INTERVAL 2 YEAR) GROUP BY employee_id), emp_projects AS (SELECT ep.employee_id, COUNT(DISTINCT p.project_id) AS project_count, AVG(p.project_score) AS avg_project_score FROM employee_projects ep JOIN projects p ON ep.project_id = p.project_id WHERE p.end_date >= DATE_SUB(CURRENT_DATE, INTERVAL 2 YEAR) OR p.end_date IS NULL GROUP BY ep.employee_id) SELECT oh.employee_id, oh.first_name, oh.last_name, oh.job_title, oh.level, COALESCE(ep.avg_performance, 0) AS avg_performance, COALESCE(ep.review_count, 0) AS review_count, COALESCE(epr.project_count, 0) AS project_count, COALESCE(epr.avg_project_score, 0) AS avg_project_score, (SELECT COUNT(*) FROM org_hierarchy oh2 WHERE oh2.manager_id = oh.employee_id) AS direct_reports FROM org_hierarchy oh LEFT JOIN emp_performance ep ON oh.employee_id = ep.employee_id LEFT JOIN emp_projects epr ON oh.employee_id = epr.employee_id ORDER BY oh.level, avg_performance DESC, avg_project_score DESC;","employees.employee_id -> result; employees.manager_id -> org_hierarchy; employees.first_name -> result; employees.last_name -> result; employees.job_title -> result; performance_reviews.employee_id -> emp_performance; performance_reviews.performance_score -> emp_performance; performance_reviews.review_date -> emp_performance; employee_projects.employee_id -> emp_projects; employee_projects.project_id -> emp_projects; projects.project_id -> emp_projects; projects.project_score -> emp_projects; projects.end_date -> emp_projects"
"WITH customer_activity AS (SELECT customer_id, COUNT(*) AS total_orders, SUM(total_amount) AS total_spent, MAX(order_date) AS last_order_date, MIN(order_date) AS first_order_date FROM orders GROUP BY customer_id), customer_segments AS (SELECT ca.*, CASE WHEN total_orders >= 10 AND total_spent >= 5000 THEN 'VIP' WHEN total_orders >= 5 AND total_spent >= 2000 THEN 'Regular' WHEN total_orders >= 2 AND total_spent >= 500 THEN 'Occasional' ELSE 'New' END AS segment, NTILE(5) OVER (ORDER BY total_spent DESC) AS spending_quintile, DATEDIFF(CURRENT_DATE, last_order_date) AS days_since_last_order FROM customer_activity), product_preferences AS (SELECT o.customer_id, p.category_id, c.category_name, COUNT(*) AS purchase_count, SUM(od.quantity * od.unit_price * (1 - od.discount)) AS category_spent FROM orders o JOIN order_details od ON o.order_id = od.order_id JOIN products p ON od.product_id = p.product_id JOIN categories c ON p.category_id = c.category_id GROUP BY o.customer_id, p.category_id, c.category_name) SELECT cs.customer_id, c.first_name, c.last_name, c.email, cs.total_orders, cs.total_spent, cs.last_order_date, cs.first_order_date, cs.segment, cs.spending_quintile, cs.days_since_last_order, pp.category_name AS top_category, pp.purchase_count AS top_category_purchases, pp.category_spent AS top_category_spent, (SELECT GROUP_CONCAT(DISTINCT p.product_name SEPARATOR ', ') FROM orders o JOIN order_details od ON o.order_id = od.order_id JOIN products p ON od.product_id = p.product_id WHERE o.customer_id = cs.customer_id ORDER BY od.quantity DESC LIMIT 3) AS top_3_products FROM customer_segments cs JOIN customers c ON cs.customer_id = c.customer_id LEFT JOIN (SELECT customer_id, category_name, purchase_count, category_spent, ROW_NUMBER() OVER (PARTITION BY customer_id ORDER BY category_spent DESC) AS category_rank FROM product_preferences) pp ON cs.customer_id = pp.customer_id AND pp.category_rank = 1 ORDER BY cs.spending_quintile, cs.total_spent DESC;","orders.customer_id -> result; orders.order_id -> result; orders.total_amount -> result; orders.order_date -> result; customers.customer_id -> result; customers.first_name -> result; customers.last_name -> result; customers.email -> result; products.product_id -> result; products.category_id -> result; products.product_name -> result; categories.category_id -> result; categories.category_name -> result; order_details.order_id -> result; order_details.product_id -> result; order_details.quantity -> result; order_details.unit_price -> result; order_details.discount -> result"
